id,asset_key,source_field_or_path,required,usage_scope,where_used,recommended_size_px,aspect_ratio,preferred_format,style_brief,notes
1,startup_intro_logo,/brand/vidhi-satya-logo.png,Yes,Global startup intro,"Website first-load gate",1920x1080,16:9,WebP (fallback PNG),"Premium eco-cinematic logo frame with soft glow and clear Hindi text","Current file exists as PNG; also keep compressed WebP for performance"
2,hero_slide_image,Hero.imageUrl,Yes,Homepage,"Hero carousel slides",2400x1350,16:9,WebP/JPG,"High-end nature + strategy visuals; clean focal subject, no clutter","Create 3-5 slides with consistent color grading"
3,about_image,About.imageUrl,Yes,Homepage + About page,"About preview and About detail section",1600x1200,4:3,WebP/JPG,"Editorial eco-professional image; human + nature or institutional tone","Must remain readable under text overlays"
4,service_image,Service.imageUrl,Yes,Services list + detail,"All service cards and service detail pages",1600x1000,16:10,WebP/JPG,"Category-specific visual metaphor (compliance, advisory, governance)","One image per service entry"
5,blog_featured_image,Blog.featuredImage,Yes,Blog index + detail + home preview,"Featured and card thumbnails for all blog posts",1600x900,16:9,WebP/JPG,"Editorial cover image with strong composition and tonal contrast","One image per blog post"
6,seo_og_image,SEO.ogImage,Optional (strongly recommended),Social sharing + metadata,"Open Graph previews for each page",1200x630,1.91:1,PNG/WebP,"Brand banner style with logo lockup and calm green premium palette","Falls back to SiteSetting.logoUrl when empty"
7,site_logo,SiteSetting.logoUrl,Optional (recommended),Global brand metadata/admin uses,"Site branding and fallback OG image source",1024x1024,1:1,PNG/SVG,"Clean transparent-brand mark usable on light and dark surfaces","Provide both light and dark variants if possible"
8,site_favicon,SiteSetting.faviconUrl,Optional (recommended),Browser/tab branding,"Favicon and app icon usage",512x512 (master),1:1,PNG/ICO,"Simple high-legibility icon from primary logo mark","Export 32x32 and 180x180 derivatives from master"
9,testimonial_avatar,Testimonial.imageUrl,Optional,Testimonials/admin content,"Client/testimonial profile images",800x800,1:1,WebP/JPG,"Professional neutral portraits with clean background","If absent, component should gracefully handle missing image"
10,about_fallback_placeholder,/uploads/placeholder-about.jpg,Optional fallback (currently referenced),About page fallback,"Used only when About.imageUrl is missing",1600x1200,4:3,WebP/JPG,"Neutral premium placeholder in brand palette","Reference exists in code; file currently missing"
11,uploaded_cms_images,/uploads/*,Yes (storage path),All CMS-managed assets,"Any uploaded Hero/About/Service/Blog/Testimonial image URLs",Keep originals <= 2500px wide,Variable,WebP preferred,"Maintain consistent grading using Lush Forest palette","Set compression target <= 350KB where quality allows"
